City,Converted,Country,Created Date,Dead Reason,Email Opt Out,Industry,Key Account,Last Status Change,Lead ID,Lead Source,Lead Status at Conversion,LeadRecordType,LS Team Notified,Next_Step__c (Leads),Pardot Conversion Date,Pardot Created Date,Pardot First Activity,Pardot Last Activity,Primary Research Application,Product Category,Record Type ID,SS Team Notified,State/Province,Status,Campaign Membership Count,Pardot Score
Stafford,TRUE,United States,03-07-2013,N/A - Active Lead,FALSE,Safety and Security,FALSE,03-07-2013,00Qi0000004qGT4EAM,Other,Converted,Safety and Security,FALSE,No Active Next Step,,,,,CWAs;Drugs;All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Nurturing,0,0
Unknown City,TRUE,United States,04-03-2015,N/A - Active Lead,FALSE,Safety and Security,FALSE,04-03-2015,00Qi000000ntVnvEAE,Website,Converted,Safety and Security,FALSE,No Active Next Step,,,,,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Nurturing,0,0
Fort Belvoir,TRUE,United States,05-07-2013,N/A - Active Lead,FALSE,Safety and Security,FALSE,05-07-2013,00Qi0000004qM6xEAE,Other,Converted,Safety and Security,FALSE,No Active Next Step,,,,,Explosives,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Nurturing,0,0
Unknown City,TRUE,United States,03-07-2013,N/A - Active Lead,FALSE,Safety and Security,FALSE,03-07-2013,00Qi0000004qGPaEAM,Field Sales,Converted,Safety and Security,FALSE,No Active Next Step,,,,,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Qualified,0,0
Kaiserslautern,TRUE,Germany,30-04-2015,N/A - Converted,FALSE,Safety and Security,FALSE,04-08-2020,00Qi000000sEheJEAS,Trade Show,Converted,Safety and Security,FALSE,No Active Next Step,,04-02-2019,21-04-2020,21-04-2020,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,3,4
Kaiserslautern,TRUE,Germany,30-04-2015,N/A - Converted,FALSE,Safety and Security,FALSE,04-08-2020,00Qi000000sEhfMEAS,Trade Show,Converted,Safety and Security,FALSE,No Active Next Step,,04-02-2019,,,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,3,0
Kaiserslautern,TRUE,Germany,30-04-2015,N/A - Converted,FALSE,Safety and Security,FALSE,04-08-2020,00Qi000000sEhgtEAC,Trade Show,Converted,Safety and Security,FALSE,No Active Next Step,,04-02-2019,27-02-2020,21-04-2020,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,3,8
Unknown City,TRUE,United States,18-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,14-05-2020,00Q5A00001OYnnZUAT,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,18-02-2020,18-02-2020,18-02-2020,18-02-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Nevada ,Converted,0,15
Unknown City,TRUE,United States,10-03-2020,N/A - Converted,FALSE,Safety and Security,FALSE,11-03-2020,00Q5A00001OZHQoUAP,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,10-03-2020,10-03-2020,10-03-2020,10-03-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,0,84
Unknown City,TRUE,United States,23-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,27-01-2020,00Q5A00001OYIDqUAP,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,23-01-2020,23-01-2020,23-01-2020,23-01-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Kansas,Converted,0,15
Unknown City,TRUE,United States,28-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,28-01-2020,00Q5A00001OYP5eUAH,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,28-01-2020,28-01-2020,28-01-2020,28-01-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,California,Converted,0,15
Unknown City,TRUE,United States,30-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,04-02-2020,00Q5A00001OYRaMUAX,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,29-01-2020,29-01-2020,29-01-2020,29-01-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,New Mexico,Converted,0,90
Waltham,TRUE,United States,19-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,19-02-2020,00Q5A00001OYpf8UAD,Field Sales,Converted,0125A000001ESVe,FALSE,No Active Next Step,19-02-2020,19-02-2020,19-02-2020,19-02-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Massachusetts,Converted,0,136
Ambridge,TRUE,United States,30-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,27-02-2020,00Q5A00001OYRaKUAX,Eblasts,Converted,0125A000001ESVe,FALSE,No Active Next Step,29-01-2020,29-01-2020,29-01-2020,29-01-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Pennsylvania,Converted,2,15
Unknown City,TRUE,United States,20-12-2019,N/A - Converted,FALSE,Safety and Security,FALSE,20-12-2019,00Q5A00001OX8ywUAD,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,20-12-2019,20-12-2019,20-12-2019,20-12-2019,CWAs;Explosives;Drugs;All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,California,Converted,0,85
Unknown City,TRUE,United Kingdom,01-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,08-04-2020,00Q5A00001OZdxdUAD,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,01-04-2020,01-04-2020,01-04-2020,01-04-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,0,272
Unknown City,TRUE,United States,30-12-2019,N/A - Converted,FALSE,Safety and Security,FALSE,02-01-2020,00Q5A00001OXFKDUA5,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,30-12-2019,30-12-2019,30-12-2019,30-12-2019,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Nevada ,Converted,0,21
Unknown City,TRUE,United States,07-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,07-04-2020,00Q5A00001OZiwFUAT,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,07-04-2020,07-04-2020,07-04-2020,07-04-2020,CWAs;Explosives,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,0,20
Charlotte,TRUE,United States,17-12-2019,N/A - Converted,FALSE,Safety and Security,FALSE,17-12-2019,00Q5A00001OX38KUAT,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,17-12-2019,17-12-2019,17-12-2019,17-12-2019,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,North Carolina,Converted,0,119
Unknown City,TRUE,United States,07-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,07-01-2020,00Q5A00001OXNy4UAH,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,07-01-2020,07-01-2020,07-01-2020,07-01-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,0,127
Unknown City,TRUE,United States,04-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,07-02-2020,00Q5A00001OYW4pUAH,Eblasts,Converted,0125A000001ESVd,FALSE,No Active Next Step,04-02-2020,04-02-2020,04-02-2020,04-02-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Texas,Converted,1,15
Unknown City,TRUE,United States,26-03-2020,N/A - Converted,FALSE,Safety and Security,FALSE,26-03-2020,00Q5A00001OZZdvUAH,Inside Sales,Converted,0125A000001ESVe,FALSE,No Active Next Step,26-03-2020,26-03-2020,26-03-2020,26-03-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,South Carolina,Converted,0,15
Unknown City,TRUE,United States,28-12-2019,N/A - Converted,FALSE,Safety and Security,FALSE,05-01-2020,00Q5A00001OXDeDUAX,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,28-12-2019,28-12-2019,28-12-2019,28-12-2019,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Florida,Converted,0,29
Bethlehem,TRUE,United States,07-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,11-02-2020,00Q5A00001OYcY6UAL,Trade Show,Converted,0125A000001ESVe,FALSE,No Active Next Step,07-02-2020,07-02-2020,07-02-2020,07-02-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Pennsylvania,Converted,0,160
Unknown City,TRUE,United States,10-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,13-04-2020,00Q5A00001OZwB6UAL,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,10-04-2020,10-04-2020,10-04-2020,10-04-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Florida,Converted,0,239
Boston,TRUE,United States,23-12-2019,N/A - Converted,FALSE,Safety and Security,FALSE,02-06-2020,00Q5A00001OXAcuUAH,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,23-12-2019,23-12-2019,23-12-2019,19-05-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Massachusetts,Converted,4,292
Unknown City,TRUE,United States,15-03-2020,N/A - Converted,FALSE,Safety and Security,FALSE,16-03-2020,00Q5A00001OZLaiUAH,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,15-03-2020,15-03-2020,15-03-2020,15-03-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Washington,Converted,0,26
Unknown City,TRUE,United States,07-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,07-04-2020,00Q5A00001OZjFbUAL,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,07-04-2020,07-04-2020,07-04-2020,07-04-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,California,Converted,0,26
Cherry Hill,TRUE,United States,20-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,05-08-2020,00Q5A00001Oa7SKUAZ,Inside Sales,Converted,0125A000001ESVd,FALSE,No Active Next Step,20-04-2020,20-04-2020,20-04-2020,20-04-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,New Jersey,Converted,1,71
Unknown City,TRUE,United States,06-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,07-02-2020,00Q5A00001OYajWUAT,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,06-02-2020,06-02-2020,06-02-2020,07-02-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,0,106
Unknown City,TRUE,United States,02-03-2020,N/A - Converted,FALSE,Safety and Security,FALSE,02-03-2020,00Q5A00001OZ4x9UAD,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,02-03-2020,02-03-2020,02-03-2020,02-03-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Arizona,Converted,0,86
Unknown City,TRUE,United States,09-03-2020,N/A - Converted,FALSE,Safety and Security,FALSE,09-03-2020,00Q5A00001OZGDSUA5,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,09-03-2020,09-03-2020,09-03-2020,09-03-2020,Other,Uncategorized,0125A000001NaBGQA0,FALSE,Louisiana,Converted,0,85
Unknown City,TRUE,United States,09-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,16-01-2020,00Q5A00001OXU4TUAX,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,09-01-2020,09-01-2020,09-01-2020,09-01-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Texas,Converted,0,35
Unknown City,TRUE,United States,11-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,27-04-2020,00Q5A00001OYfujUAD,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,11-02-2020,11-02-2020,11-02-2020,11-02-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Ohio,Converted,1,43
Nashua,TRUE,United States,17-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,17-01-2020,00Q5A00001OXdP4UAL,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,17-01-2020,17-01-2020,16-01-2020,17-01-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,New Hampshire,Converted,0,93
Unknown City,TRUE,United States,13-04-2020,N/A - Converted,FALSE,Safety and Security,FALSE,13-04-2020,00Q5A00001OZxdAUAT,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,13-04-2020,13-04-2020,13-04-2020,13-04-2020,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Missouri,Converted,0,38
Unknown City,TRUE,United States,02-01-2020,N/A - Converted,FALSE,Safety and Security,FALSE,02-01-2020,00Q5A00001OXGe4UAH,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,02-01-2020,02-01-2020,20-12-2019,02-01-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,0,87
Unknown City,TRUE,United States,03-02-2020,N/A - Converted,FALSE,Safety and Security,FALSE,05-02-2020,00Q5A00001OYVoSUAX,Eblasts,Converted,0125A000001ESVd,FALSE,No Active Next Step,03-02-2020,03-02-2020,02-02-2020,03-02-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Arizona,Converted,2,27
Les Ulis,FALSE,France,15-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,15-03-2021,00Q5A00001RCFpTUAX,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,15-03-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Les Ulis,FALSE,France,15-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,15-03-2021,00Q5A00001RCFrAUAX,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,15-03-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Les Ulis,FALSE,France,23-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-03-2021,00Q5A00001RCPFMUA5,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,23-03-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Delft,FALSE,Netherlands,23-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-03-2021,00Q5A00001RCPUbUAP,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,23-03-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Delft,FALSE,Netherlands,19-05-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,19-05-2021,00Q6e00001RDb8IEAT,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,19-05-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Unknown City,FALSE,Unknown Country,01-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,01-03-2021,00Q5A00001RBxcCUAT,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,01-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Unknown City,FALSE,Ireland,04-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,04-03-2021,00Q5A00001RC1WSUA1,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,04-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Saint-Julien-En-Gènevoix,FALSE,Unknown Country,11-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,11-03-2021,00Q5A00001RC8WtUAL,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,11-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Unknown City,FALSE,Netherlands,18-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,18-03-2021,00Q5A00001RCJrlUAH,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,18-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Illkirch-Graffenstaden,FALSE,France,24-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,24-03-2021,00Q5A00001RCQlJUAX,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,24-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Pomezia,FALSE,Italy,24-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,24-03-2021,00Q5A00001RCQu6UAH,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,24-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Saint-Julien-En-Génevois,FALSE,France,25-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,25-03-2021,00Q5A00001RCSVtUAP,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,25-03-2021,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Illkirch,FALSE,France,18-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,18-03-2021,00Q5A00001RCJnAUAX,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,18-03-2021,,,Biotherapeutics,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Illkirch,FALSE,France,18-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,18-03-2021,00Q5A00001RCJoIUAX,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,18-03-2021,,,Biotherapeutics,System,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Dublin,TRUE,Ireland,09-01-2020,N/A - Converted,FALSE,Life Sciences,FALSE,04-03-2020,00Q5A00001OXTU7UAP,Website,MQL,0125A000001ESVd,FALSE,No Active Next Step,09-01-2020,09-01-2020,22-10-2019,16-01-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,0,62
Unknown City,TRUE,United States,03-01-2020,N/A - Converted,FALSE,Life Sciences,FALSE,18-03-2020,00Q5A00001OXI6mUAH,Website,Nurturing,0125A000001ESVd,FALSE,No Active Next Step,03-01-2020,03-01-2020,03-01-2020,14-02-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Converted,0,88
Ahmedabad,TRUE,India,13-01-2020,N/A - Converted,FALSE,Life Sciences,FALSE,13-01-2020,00Q5A00001OXXWQUA5,Other,SQL,0125A000001ESVd,FALSE,No Active Next Step,,,,,Biotherapeutics,System,0125A000001ESVdQAO,FALSE,Gujarat,Converted,0,0
Unknown City,FALSE,Mexico,14-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-10-2020,00Q5A00001RFjeXUAT,Unknown Source,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,20-06-2019,14-10-2020,15-10-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Ny,FALSE,United States,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnVUAX,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New York,Nurturing,1,0
Mysore,FALSE,India,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnZUAX,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Singapore,FALSE,Singapore,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnfUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Salford,FALSE,United Kingdom,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUngUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Walldorf,FALSE,Germany,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnkUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Framingham,FALSE,United States,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnlUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,1,0
Sochi,FALSE,Russia,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnnUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
London,FALSE,United Kingdom,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnpUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Comuna 14,FALSE,Argentina,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAojtUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,Argentina,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAojuUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Porto Alegre,FALSE,Brazil,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAojvUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Cairo,FALSE,Egypt,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok2UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Villeurbanne,FALSE,France,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok3UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Villiers Le Bel,FALSE,France,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok4UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Hamburg,FALSE,Germany,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok5UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Gttingen,FALSE,Germany,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok6UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Conover,FALSE,Germany,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok7UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Jena,FALSE,Germany,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAok8UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Hong Kong,FALSE,China,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokAUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Hong Kong,FALSE,China,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokCUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Hong Kong,FALSE,China,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokDUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,China,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokEUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,Iceland,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokFUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Reykjavk,FALSE,Iceland,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokGUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Jorethang,FALSE,India,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokHUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,India,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokIUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,India,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAokJUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
